tissue,cell_type,gene
adipose tissue,Adipocyte,ACVR1C
adipose tissue,Adipocyte,ADIPOQ
adipose tissue,Adipocyte,AOC3
adipose tissue,Adipocyte,CD137
adipose tissue,Adipocyte,CIDEA
adipose tissue,Adipocyte,CITED1
adipose tissue,Adipocyte,EPSTI1
adipose tissue,Adipocyte,EVA1
adipose tissue,Adipocyte,FABP4
adipose tissue,Adipocyte,FGF7
adipose tissue,Adipocyte,H6PD
adipose tissue,Adipocyte,HOXC8
adipose tissue,Adipocyte,HOXC9
adipose tissue,Adipocyte,LEP
adipose tissue,Adipocyte,LHX8
adipose tissue,Adipocyte,MEST
adipose tissue,Adipocyte,P2RX5
adipose tissue,Adipocyte,PLIN1
adipose tissue,Adipocyte,PPARG
adipose tissue,Adipocyte,PPARGC1A
adipose tissue,Adipocyte,PRDM16
adipose tissue,Adipocyte,SHOX2
adipose tissue,Adipocyte,SLC2A4
adipose tissue,Adipocyte,SLC36A2
adipose tissue,Adipocyte,TBX1
adipose tissue,Adipocyte,TMEM26
adipose tissue,Adipocyte,TNFRSF9
adipose tissue,Adipocyte,UCP1
adipose tissue,Adipocyte,ZIC1
adipose tissue,Adipose-derived stem cell,CD10
adipose tissue,Adipose-derived stem cell,CD105
adipose tissue,Adipose-derived stem cell,CD106
adipose tissue,Adipose-derived stem cell,CD13
adipose tissue,Adipose-derived stem cell,CD144
adipose tissue,Adipose-derived stem cell,CD146
adipose tissue,Adipose-derived stem cell,CD166
adipose tissue,Adipose-derived stem cell,CD29
adipose tissue,Adipose-derived stem cell,CD34
adipose tissue,Adipose-derived stem cell,CD44
adipose tissue,Adipose-derived stem cell,CD49D
adipose tissue,Adipose-derived stem cell,CD54
adipose tissue,Adipose-derived stem cell,CD55
adipose tissue,Adipose-derived stem cell,CD59
adipose tissue,Adipose-derived stem cell,CD59A
adipose tissue,Adipose-derived stem cell,CD71
adipose tissue,Adipose-derived stem cell,CD73
adipose tissue,Adipose-derived stem cell,CD9
adipose tissue,Adipose-derived stem cell,CD90
adipose tissue,Adipose-derived stem cell,COL5A2
adipose tissue,Adipose-derived stem cell,COL6A3
adipose tissue,Adipose-derived stem cell,COLCE2
adipose tissue,Adipose-derived stem cell,DCN
adipose tissue,Adipose-derived stem cell,EPHX1
adipose tissue,Adipose-derived stem cell,HLA-ABC
adipose tissue,Adipose-derived stem cell,IGFBP7
adipose tissue,Adipose-derived stem cell,ITGA4
adipose tissue,Adipose-derived stem cell,MT1E
adipose tissue,Adipose-derived stem cell,NGPTL2
adipose tissue,Adipose-derived stem cell,PDGFRA
adipose tissue,Adipose-derived stem cell,SAMSN1
adipose tissue,Adipose-derived stem cell,SEMA3C
adipose tissue,Adipose-derived stem cell,SH3
adipose tissue,Adipose-derived stem cell,SOD3
adipose tissue,Adipose-derived stem cell,STRO-1
adipose tissue,Adipose-derived stem cell,TFRCÂ 
adipose tissue,Adipose-derived stem cell,THY1
adipose tissue,Adipose-derived stem cell,TNXB
adipose tissue,B cell,B3GAT1
adipose tissue,B cell,BACH2
adipose tissue,B cell,BANK1
adipose tissue,B cell,BCL11A
adipose tissue,B cell,BIRC3
adipose tissue,B cell,BLNK
adipose tissue,B cell,BST1
adipose tissue,B cell,BTLA
adipose tissue,B cell,CCR7
adipose tissue,B cell,CD14
adipose tissue,B cell,CD19
adipose tissue,B cell,CD2
adipose tissue,B cell,CD22
adipose tissue,B cell,CD24
adipose tissue,B cell,CD27
adipose tissue,B cell,CD38
adipose tissue,B cell,CD40
adipose tissue,B cell,CD5
adipose tissue,B cell,CD52
adipose tissue,B cell,CD55
adipose tissue,B cell,CD69
adipose tissue,B cell,CD70
adipose tissue,B cell,CD72
adipose tissue,B cell,CD74
adipose tissue,B cell,CD79A
adipose tissue,B cell,CD79B
adipose tissue,B cell,CD80
adipose tissue,B cell,CD86
adipose tissue,B cell,CMAH
adipose tissue,B cell,CR2
adipose tissue,B cell,CRELD2
adipose tissue,B cell,CXCR4
adipose tissue,B cell,DERL3
adipose tissue,B cell,DNTT
adipose tissue,B cell,DOK3
adipose tissue,B cell,EAF2
adipose tissue,B cell,EBF1
adipose tissue,B cell,EDEM1
adipose tissue,B cell,EDEM2
adipose tissue,B cell,FAM129C
adipose tissue,B cell,FAM46C
adipose tissue,B cell,FCER2
adipose tissue,B cell,FCER2A
adipose tissue,B cell,FCHSD2
adipose tissue,B cell,FCMR
adipose tissue,B cell,FCRLA
adipose tissue,B cell,FKBP11
adipose tissue,B cell,FLI1
adipose tissue,B cell,H2-DMB2
adipose tissue,B cell,H2-OA
adipose tissue,B cell,H2-OB
adipose tissue,B cell,HLA-DQA1
adipose tissue,B cell,HLA-DRA
adipose tissue,B cell,HMGA1
adipose tissue,B cell,HVCN1
adipose tissue,B cell,IFIT3
adipose tissue,B cell,IGHA
adipose tissue,B cell,IGHD
adipose tissue,B cell,IGHG1
adipose tissue,B cell,IGHG3
adipose tissue,B cell,IGHG4
adipose tissue,B cell,IGHM
adipose tissue,B cell,IGKC
adipose tissue,B cell,IGLC1
adipose tissue,B cell,IGLC2
adipose tissue,B cell,IGLC3
adipose tissue,B cell,IGLL1
